,Title,Description,PubDate,Categorie
0,Revirement de Donald Trump : le soulagement pour les entreprises françaises,"Donald Trump a décidé de suspendre pour une durée de 90 jours ses surtaxes douanières, à l’exception de celles envers la Chine, après une annonce mercredi 9 avril 2025.","Thu, 10 Apr 2025 13:51:26 +0200",economie
1,Impôts : top départ pour déclarer ses revenus,La campagne de déclaration des revenus débute ce 10 avril et attention à ne pas se tromper : il y a quelques nouveautés cette année.,"Thu, 10 Apr 2025 13:32:14 +0200",economie
2,"Droits de douane américains : ""ce que Donald Trump a fait correspond à ce qu’il pense depuis très longtemps"", analyse Jérôme Viala-Gaudefroy, docteur en civilisation américaine","Jérôme Viala-Gaudefroy, docteur en civilisation américaine, était l’invité de Franceinfo, ce jeudi 10 avril.","Thu, 10 Apr 2025 12:42:44 +0200",economie
3,"L'usine chimique Vencorex, dont l'activité est indispensable à la dissuasion nucléaire française, va être reprise par le groupe chinois Wanhua",Le repreneur prévoit de ne conserver que 50 emplois sur les 300 employés restants du site près de Grenoble.,"Thu, 10 Apr 2025 12:20:21 +0200",economie
4,Retraite : les deux tiers des plus de 65 ans estiment que leur pouvoir d’achat a chuté,"Avec l’inflation, 75 % des plus de 65 ans estiment que leur pouvoir d’achat a chuté depuis l’arrêt de leur activité.","Thu, 10 Apr 2025 09:56:10 +0200",economie
5,"Selon des ONG, 128 cas de désinformation climatique ont été recensés dans plusieurs médias depuis le début de l'année","Les premiers chiffres de cette étude sont publiés par trois ONG, rapporte France Inter. Il s'agit de cas de désinformation qui ""viennent contredire des faits établis par le consensus scientifique international"", précise Eva Morel de Quotaclimat.","Thu, 10 Apr 2025 09:42:46 +0200",economie
6,"Droits de douane américains imposés à la Chine : Non, le prix de l’iPhone ne va pas mécaniquement augmenter pour les Européens",Le président américain Donald Trump a encore augmenté mercredi les droits de douanes imposés à la Chine pour les porter à 125%. Nombre de consommateurs européens s’inquiètent : cela peut-il avoir un impact sur le prix des produits américains fabriqués en Chine et que l’on s’achète en France et en Europe ?,"Thu, 10 Apr 2025 09:23:56 +0200",economie
7,"La baisse du dollar, l’autre menace américaine après les droits de douanes ?","La monnaie américaine a baissé face aux autres devises. Bonne nouvelle pour les exportations américaines, mais problème pour l’Europe, d’autant plus qu’elle achète son pétrole en dollars.","Thu, 10 Apr 2025 09:14:00 +0200",economie
8,"Droits de douane américains : ""Se poser la question du réarmement alimentaire, c'est important"", estime le président de la FNSEA","Donald Trump a annoncé qu'il limitait pendant trois mois la hausse des droits de douanes à 10% avec tous les pays sauf la Chine. ""Une bonne chose"", pour Arnaud Rousseau qui estime que cette guerre commerciale repose la question de la souveraineté alimentaire européenne.","Thu, 10 Apr 2025 08:47:23 +0200",economie
9,Impôts : la campagne de déclaration a démarré,"Les Français ont jusqu’au 5 juin au plus tard pour compléter leur déclaration d’impôts, une date qui varie en fonction du département.","Thu, 10 Apr 2025 08:37:01 +0200",economie
10,Les prix du pétrole au plus bas depuis quatre ans,"Malgré le revirement spectaculaire de Donald Trump sur les droits de douane, la baisse de l’activité mondiale affecte le pétrole. Le baril est sous les 60 dollars, du jamais vu depuis quatre ans, et des analystes de Goldman Sachs voient le baril plonger jusqu’aux 40 dollars.","Thu, 10 Apr 2025 08:26:40 +0200",economie
11,"Calendrier, changements... Ce qu'il faut savoir de la nouvelle campagne de déclarations de revenus qui débute jeudi","Pour aider les contribuables, le Conseil national de l'ordre des experts-comptables a indiqué mettre à disposition un site internet dédié (allo-impot.fr) et un numéro vert (0800 06 54 32) deux jours par semaine à partir du 21 mai.","Thu, 10 Apr 2025 07:48:53 +0200",economie
12,Frais de notaires : près de neuf départements sur 10 viennent de les augmenter ou prévoient de le faire,"La loi de finances 2025 demande un effort financier aux collectivités locales de 2,2 milliards d'euros.","Thu, 10 Apr 2025 06:35:05 +0200",economie
13,Déclaration de revenus : un taux de prélèvement par défaut individualisé pour les couples mariés et pacsés,"La campagne de déclaration des revenus 2024 débute jeudi en France, avec une nouveauté pour les couples mariés et pacsés : l'application par défaut d'un taux de prélèvement individualisé plutôt qu'un taux de prélèvement commun.","Thu, 10 Apr 2025 06:28:55 +0200",economie
14,"Emplois en danger, dissuasion nucléaire, repreneur chinois... On vous résume les enjeux autour de l'usine chimique Vencorex, menacée de liquidation","Le tribunal de commerce de Lyon doit se prononcer jeudi sur l'avenir de l'usine du Pont-de-Claix, près de Grenoble, dont le sel est indispensable aux filières spatiales et nucléaires. Deux options sont sur la table : une reprise partielle par un groupe chinois ou le rachat en coopérative par des salariés.","Thu, 10 Apr 2025 06:01:30 +0200",economie
15,"Immobilier : construire soi-même sa maison, un défi qui tente de nombreux Français","Beaucoup de Français rêvent de devenir propriétaires, mais ils n'en ont pas toujours les moyens. Alors, ils se lancent dans l'aventure de construire eux-mêmes leur maison, avec des modèles de maisons plus ou moins en kit.","Thu, 10 Apr 2025 00:40:43 +0200",economie
