,Title,Description,PubDate,Categorie
0,"Affaire Bétharram : un ex-gendarme reparle d'une ""intervention"" de François Bayrou, lors d'une commission d'enquête parlementaire","Mi-février à l'Assemblée nationale, le Premier ministre avait affirmé n'être ""jamais"" intervenu, ""ni de près, ni de loin"", dans cette affaire.","Thu, 10 Apr 2025 13:19:59 +0200",societe
1,"""Jusqu'à 30 à 40 personnes entassées dans un véhicule"" : un trafic de migrants démantelé entre la France et l'Italie","Cette opération de police judiciaire, menée simultanément entre l'Alsace, la Seine-Saint-Denis, la Savoie et l'Italie.","Thu, 10 Apr 2025 12:45:12 +0200",societe
2,"Une circulaire envoyée aux préfets ""dans les prochains jours"" pour orienter les étrangers en situation régulière vers les métiers en tension","Le ministre de l'Intérieur Bruno Retailleau affirme que le ""droit de séjour est une faveur"" pour les étrangers, ce qui justifie, selon lui, les ""conditions"" pour l'obtenir.","Thu, 10 Apr 2025 12:38:11 +0200",societe
3,"Le livre ""Atypiques"" de Paul et Sophie El Kharrat est ""une manière de rendre un peu plus visible"" l'autisme","Tous les jours, une personnalité s'invite dans le monde d'Élodie Suigo. Jeudi 10 avril 2025 : Paul et Sophie El Kharrat. Ils sortent ensemble l'ouvrage ""Atypiques"", aux éditions HarperCollins, pour témoigner sur l'autisme et le syndrome d'Asperger.","Thu, 10 Apr 2025 12:11:05 +0200",societe
4,"""Pause numérique"" au collège : ""Une vision fantasmée de la protection de l'enfance"", selon l’Observatoire de la parentalité et de l'éducation numérique","La ministre de l'Éducation nationale a annoncé, mercredi, la généralisation de la ""pause numérique"" au collège.","Thu, 10 Apr 2025 11:56:21 +0200",societe
5,"À Dublin, une statue victime de mains baladeuses","La statue de Molly Malone a été abîmée par les nombreux attouchements dont elle est victime au niveau de la poitrine. Face à cette objectification, la ville a instauré une surveillance et rappelle que ce geste est inapproprié.","Thu, 10 Apr 2025 11:16:17 +0200",societe
6,"PODCAST. ""Putain rangez vos queues les mecs"", la France prête à reconnaître la Palestine et une Barbie ""Lebron James"" : ça dit quoi ce 10 avril ?","Ce jeudi 10 avril, la colère de l'actrice Anouck Grinberg contre les violences sexistes et sexuelles, Emmanuel Macron souhaite que la France reconnaisse l'État palestinien ""en juin prochain"" et la légende du basket NBA Lebron James est le premier athlète à avoir une poupée Barbie à son effigie.","Thu, 10 Apr 2025 09:55:32 +0200",societe
7,Violences dans la culture : le rapport accablant,"Après six mois d'enquête, un rapport d'une commission parlementaire est accablant pour le monde du cinéma et de la culture.","Thu, 10 Apr 2025 09:16:14 +0200",societe
8,"Pause numérique : pas de téléphone au collège, qu'en pensent les élèves ?","À partir du 1er septembre, tous les collégiens en France devront le laisser chez eux, ou le ranger dans leur sac ou un casier toute la journée. Une annonce confirmée par Elisabeth Borne, la ministre de l'Education, devant les sénateurs.","Thu, 10 Apr 2025 08:23:15 +0200",societe
9,"Strava, Garmin, Footbar... Ces applications qui révolutionnent la pratique du sport et rendent accro","Depuis plusieurs années, l'essor de différents outils numériques a changé durablement la pratique sportive. Au point de rendre certains pratiquants totalement dépendants de leurs applications, qui les suivent au quotidien.","Thu, 10 Apr 2025 06:30:01 +0200",societe
